product_name,store,percentage_change,category,price
Nectaflor Honey Moutn 250G Jar,bluemart,-7.78125,Spreads,32.0
Nutella 350 Gm,bluemart,-16.62958843,Spreads,17.98
Nature Valley Protein Peanut & Choco 40Gm ,bluemart,-21.42857143,Cereals and bars,7.0
Nature Valley Protein Salted Caramel Nut 40Gm,bluemart,-31.25,Cereals and bars,8.0
Nature Valley Crunchy Oats&Coconut,bluemart,1.9021739130000002,Cereals and bars,3.68
Oreo Mini 67 Gm,bluemart,-10.84165478,Snacks,7.01
Cadbruy Dairy Milk Hazelnut 227Gm,bluemart,-12.43745533,Snacks,13.99
Cadburry Dairy Milk Oreo 95G,bluemart,0.11764705880000001,Snacks,8.5
Cadbury Dairy Milk Chocolate 230Gm,bluemart,-10.90909091,Snacks,13.75
Cadbury Dairy Milk Fruit & Nut 230Gm,bluemart,-10.84425036,Snacks,13.74
Lindt Excellence 70% Cocoa 100Gm,bluemart,-17.14285714,Snacks,17.5
Lindt Excellence Cocoa 85% 100Gm,bluemart,-17.81838949,Snacks,17.51
Lindt Excellence Cocoa 90% 100Gm,bluemart,-10.28571429,Snacks,17.5
Kallo Rice Cake No Added Salt 130Gm,bluemart,-25.0,Snacks,14.0
Lays Forno Auth Cheese 170g,bluemart,-23.904761899999997,Snacks,10.5
Lays Forno Black Pepper 170g,bluemart,-23.904761899999997,Snacks,10.5
Indomie Cup Noodles Beef 60g,bluemart,-6.666666667,Instant noodles,3.75
Indomie Cup Noodles Chicken 60g,bluemart,-6.666666667,Instant noodles,3.75
Indomie Cup Noodles Curry 60g,bluemart,0.0,Instant noodles,3.5
Indomie Cup Noodles Fried Migoreng 75g,bluemart,-31.94192377,Instant noodles,5.51
Indomie Cup Noodles Vegetable 60g,bluemart,0.0,Instant noodles,3.5
Koka Bowl Noodles Chicken 90g,bluemart,9.523809523999999,Instant noodles,5.25
Koka Bowl Noodles Seafood 90g,bluemart,9.523809523999999,Instant noodles,5.25
Koka Bowl Noodles Tom Yam 90g,bluemart,-0.1736111111,Instant noodles,5.76
Koka Cup Noodles Beef 70g,bluemart,4.938271605,Instant noodles,4.05
Koka Cup Noodles Vegetable 70g,bluemart,-11.11111111,Instant noodles,4.5
Bayara Cashew Roasted 200g,bluemart,-8.695652174,Nuts and Seeds,23.0
Always Large With Wings 30,bluemart,20.0,Toiletries,15.0
Carefree Duo Effect Intimate Foam Gt+Av 150Ml,bluemart,22.09302326,Toiletries,43.0
Carefree Flexi Comfort Cotton 12/20 Pcs,bluemart,-15.05309182,Toiletries,16.01
Sensodyne T/Paste 75Ml Rapid Action,bluemart,43.43478261,Toiletries,23.0
